did,r_type,r_name,r_character,myroom_move,r_rarity,t_normal_shout1,t_normal_shout2,t_good_shout1,t_good_shout2,t_best_shout1,t_best_shout2,t_normal_phrase1,t_normal_phrase2,t_normal_phrase3,t_good_phrase1,t_good_phrase2,t_good_phrase3,t_best_phrase1,t_best_phrase2,t_best_phrase3,t_lobby_touch1,t_lobby_touch2,t_lobby_touch3,t_lobby_touch4,t_forest_heart,t_party_in,t_party_out,t_lobby_induce,t_lobby_present,t_lobby_end,t_dragon_appear,lactea_sorrow,lactea_bye,lactea_farewell,mail_message,party_in_induce
120052,applecheek,물 애플칙,재빠르고 스마트,fly_fast,common,점심에는 라임!,시큼하게!,껍질째 드세요!,밍기뉴!,웰빙의 시간!,슈르르까!,비타민은 섭취하고 있나요?,많이 먹는다고 좋은 건 아니에요.,만병통치약도 아니에요.,더 상냥하게 대해주길 바래요.,아직도 좀 무서우니까,손가락 걸고 약속.,당신과 함께라서 기뻐요.,당신은 나의 비타민.,언제까지 함께 해요.,안녕!,비타민 합성하기 좋은 날씨.,햇볕을 쬐어야 건강해져요.,먹는 것만 비타민이 아니거든요.,수확의 기쁨!,웰빙의 시간,너무해!,수확할 시간이야.,수확의 기쁨!,다음 수확을 기대해.,,그런 생각이로군,헤어질 시간이다,그동안 정말 즐거웠어,챙겨줘서 고마워!,발톱이 근질근질한데?
120053,applecheek,불 애플칙,재빠르고 스마트,fly_fast,common,아침에는 사과!,달콤하게!,껍질째 드세요!,"여물지 않은, 이 맛!",웰빙의 시간!,어서 사과하세요!,비타민은 섭취하고 있나요?,많이 먹는다고 좋은 건 아니에요.,만병통치약도 아니에요.,더 상냥하게 대해주길 바래요.,아직도 좀 무서우니까,손가락 걸고 약속.,당신과 함께라서 기뻐요.,당신은 나의 비타민.,언제까지 함께 해요.,안녕!,비타민 합성하기 좋은 날씨.,햇볕을 쬐어야 건강해져요.,먹는 것만 비타민이 아니거든요.,수확의 기쁨!,웰빙의 시간,너무해!,수확할 시간이야.,수확의 기쁨!,다음 수확을 기대해.,,그런 생각이로군,헤어질 시간이다,그동안 정말 즐거웠어,챙겨줘서 고마워!,발톱이 근질근질한데?
120054,applecheek,빛 애플칙,재빠르고 스마트,fly_fast,common,저녁에는 레몬!,새콤하게!,껍질째 드세요!,디톡스 타임!,웰빙의 시간!,레몬향기가 맡고 싶나요?,비타민은 섭취하고 있나요?,많이 먹는다고 좋은 건 아니에요.,만병통치약도 아니에요.,더 상냥하게 대해주길 바래요.,아직도 좀 무서우니까,손가락 걸고 약속.,당신과 함께라서 기뻐요.,당신은 나의 비타민.,언제까지 함께 해요.,안녕!,비타민 합성하기 좋은 날씨.,햇볕을 쬐어야 건강해져요.,먹는 것만 비타민이 아니거든요.,수확의 기쁨!,웰빙의 시간,너무해!,수확할 시간이야.,수확의 기쁨!,다음 수확을 기대해.,,그런 생각이로군,헤어질 시간이다,그동안 정말 즐거웠어,챙겨줘서 고마워!,발톱이 근질근질한데?
120055,applecheek,어둠 애플칙,재빠르고 스마트,fly_fast,common,아침에는 사과!,달콤하게!,껍질째 드세요!,스윗 타임,웰빙의 시간.,어서 사과하세요!,비타민은 섭취하고 있나요?,많이 먹는다고 좋은 건 아니에요.,만병통치약도 아니에요.,더 상냥하게 대해주길 바래요.,아직도 좀 무서우니까,손가락 걸고 약속.,당신과 함께라서 기뻐요.,당신은 나의 비타민.,언제까지 함께 해요.,안녕!,비타민 합성하기 좋은 날씨.,햇볕을 쬐어야 건강해져요.,먹는 것만 비타민이 아니거든요.,수확의 기쁨!,웰빙의 시간,너무해!,수확할 시간이야.,수확의 기쁨!,다음 수확을 기대해.,,앗! 나를 보내려고?,이제 돌아갈 시간이네,넌 정말 훌륭한 테이머 였어,챙겨줘서 고마워!,나도 싸울 수 있어!
120071,spine,땅 스파인,고고함,fly_slow,rare,좀 따끔할 거야!,찔러보기!,바람구멍을 내주지!,시원하게 뚫어줄까?,단 번에 간다!,좀 더 깊숙히!,전투가 없으니 따분하군.,"뭐, 재미난 일 없어?",그 표정을 보니 답이 나오네.,내가 한 싸움하긴 하지.,이제서야 날 좀 알아봐주는군.,날 데리고 있는 건 행운이라고.,인정하기 싫어도 넌 인정할 수밖에 없군.,"솔직히 너, 기대 이상이야.",너랑은 계속 달려봐도 좋을 거 같단 말이야.,날 만지는 건 위험할 텐데…,손조심하라고,이거 불안해서 같이 다니겠나…,그 마음만 맏아둘게.,제대로 찍었군.,제대로 찍은 거야!,"뭐, 틀릴 때도 있는 거지.",날 한번 찍어봐.,제대로 찍었군.,다음에도 잘 찍어보라고.,,앗! 나를 보내려고?,이제 돌아갈 시간이네,넌 정말 훌륭한 테이머 였어,챙겨줘서 고마워!,발톱이 근질근질한데?
120072,spine,물 스파인,고고함,fly_slow,rare,좀 따끔할 거야!,찔러보기!,바람구멍을 내주지!,시원하게 뚫어줄까?,단 번에 간다!,좀 더 깊숙히!,전투가 없으니 따분하군.,"뭐, 재미난 일 없어?",그 표정을 보니 답이 나오네.,내가 한 싸움하긴 하지.,이제서야 날 좀 알아봐주는군.,날 데리고 있는 건 행운이라고.,인정하기 싫어도 넌 인정할 수밖에 없군.,"솔직히 너, 기대 이상이야.",너랑은 계속 달려봐도 좋을 거 같단 말이야.,날 만지는 건 위험할 텐데…,손조심하라고,이거 불안해서 같이 다니겠나…,그 마음만 맏아둘게.,제대로 찍었군.,제대로 찍은 거야!,"뭐, 틀릴 때도 있는 거지.",날 한번 찍어봐.,제대로 찍었군.,다음에도 잘 찍어보라고.,,앗! 나를 보내려고?,이제 돌아갈 시간이네,넌 정말 훌륭한 테이머 였어,챙겨줘서 고마워!,날 데려가면 좋은 일이 있을거야
120073,spine,불 스파인,고고함,fly_slow,rare,좀 따끔할 거야!,찔러보기!,바람구멍을 내주지!,시원하게 뚫어줄까?,단 번에 간다!,좀 더 깊숙히!,전투가 없으니 따분하군.,"뭐, 재미난 일 없어?",그 표정을 보니 답이 나오네.,내가 한 싸움하긴 하지.,이제서야 날 좀 알아봐주는군.,날 데리고 있는 건 행운이라고.,인정하기 싫어도 넌 인정할 수밖에 없군.,"솔직히 너, 기대 이상이야.",너랑은 계속 달려봐도 좋을 거 같단 말이야.,날 만지는 건 위험할 텐데…,손조심하라고,이거 불안해서 같이 다니겠나…,그 마음만 맏아둘게.,제대로 찍었군.,제대로 찍은 거야!,"뭐, 틀릴 때도 있는 거지.",날 한번 찍어봐.,제대로 찍었군.,다음에도 잘 찍어보라고.,,앗! 나를 보내려고?,이제 돌아갈 시간이네,넌 정말 훌륭한 테이머 였어,챙겨줘서 고마워!,내가 활약할 차례야!
120074,spine,빛 스파인,고고함,fly_slow,rare,좀 따끔할 거야!,찔러보기!,바람구멍을 내주지!,시원하게 뚫어줄까?,단 번에 간다!,좀 더 깊숙히!,전투가 없으니 따분하군.,"뭐, 재미난 일 없어?",그 표정을 보니 답이 나오네.,내가 한 싸움하긴 하지.,이제서야 날 좀 알아봐주는군.,날 데리고 있는 건 행운이라고.,인정하기 싫어도 넌 인정할 수밖에 없군.,"솔직히 너, 기대 이상이야.",너랑은 계속 달려봐도 좋을 거 같단 말이야.,날 만지는 건 위험할 텐데…,손조심하라고,이거 불안해서 같이 다니겠나…,그 마음만 맏아둘게.,제대로 찍었군.,제대로 찍은 거야!,"뭐, 틀릴 때도 있는 거지.",날 한번 찍어봐.,제대로 찍었군.,다음에도 잘 찍어보라고.,,앗! 나를 보내려고?,이제 돌아갈 시간이네,넌 정말 훌륭한 테이머 였어,챙겨줘서 고마워!,나도 싸울 수 있어!
120075,spine,어둠 스파인,고고함,fly_slow,rare,좀 따끔할 거야!,찔러보기!,바람구멍을 내주지!,시원하게 뚫어줄까?,단 번에 간다!,좀 더 깊숙히!,전투가 없으니 따분하군.,"뭐, 재미난 일 없어?",그 표정을 보니 답이 나오네.,내가 한 싸움하긴 하지.,이제서야 날 좀 알아봐주는군.,날 데리고 있는 건 행운이라고.,인정하기 싫어도 넌 인정할 수밖에 없군.,"솔직히 너, 기대 이상이야.",너랑은 계속 달려봐도 좋을 거 같단 말이야.,날 만지는 건 위험할 텐데…,손조심하라고,이거 불안해서 같이 다니겠나…,그 마음만 맏아둘게.,제대로 찍었군.,제대로 찍은 거야!,"뭐, 틀릴 때도 있는 거지.",날 한번 찍어봐.,제대로 찍었군.,다음에도 잘 찍어보라고.,,어? 정말이야?,그럼 가볼게,함께했던 시간 오래도록 기억할게,챙겨줘서 고마워!,발톱이 근질근질한데?
120081,leafdragon,땅 리프드래곤,고고함,fly_slow,common,귀여운 이파리!,팔라닥!,깜찍한 이파리!,팔랑팔랑 나풀나풀!,따끔한 이파리!,팔라당팔라당!,얕보지 말라니깐!,알고 보면 나도 무섭다니깐!,난 이파리왕이 될 거라니깐!,날 얕보지 않았으면 해.,곤란한 질문을 하는 건 곤란하잖아.,난 약하지 않아!,"고마워, 날 인정해줘서.",역시 잎사귀 왕은 무리겠지?,네가 있으면 잎사귀 왕 같은 건 필요 없을지도.,라테아는 모든 드래곤들의 안식처.,사람들은 별자리라고 부르던가?,드래곤에게는 죽음이 없지.,우리는 모두 라테아로 돌아간다.,이파리의 선물.,이파리왕이 나가신다!,"속았어, 또 속았어!",내 머리를 만져보라니깐.,이파리의 선물.,또? 욕심쟁이!,,어? 정말이야?,그럼 가볼게,함께했던 시간 오래도록 기억할게,챙겨줘서 고마워!,발톱이 근질근질한데?
120082,leafdragon,물 리프드래곤,고고함,fly_slow,common,귀여운 이파리!,팔라닥!,깜찍한 이파리!,팔랑팔랑 나풀나풀!,따끔한 이파리!,팔라당팔라당!,얕보지 말라니깐!,알고 보면 나도 무섭다니깐!,난 이파리왕이 될 거라니깐!,날 얕보지 않았으면 해.,곤란한 질문을 하는 건 곤란하잖아.,난 약하지 않아!,"고마워, 날 인정해줘서.",역시 잎사귀 왕은 무리겠지?,네가 있으면 잎사귀 왕 같은 건 필요 없을지도.,라테아는 모든 드래곤들의 안식처.,사람들은 별자리라고 부르던가?,드래곤에게는 죽음이 없지.,우리는 모두 라테아로 돌아간다.,이파리의 선물.,이파리왕이 나가신다!,"속았어, 또 속았어!",내 머리를 만져보라니깐.,이파리의 선물.,또? 욕심쟁이!,,어? 정말이야?,그럼 가볼게,함께했던 시간 오래도록 기억할게,챙겨줘서 고마워!,발톱이 근질근질한데?
120083,leafdragon,불 리프드래곤,고고함,fly_slow,common,귀여운 이파리!,팔라닥!,깜찍한 이파리!,팔랑팔랑 나풀나풀!,따끔한 이파리!,팔라당팔라당!,얕보지 말라니깐!,알고 보면 나도 무섭다니깐!,난 이파리왕이 될 거라니깐!,날 얕보지 않았으면 해.,곤란한 질문을 하는 건 곤란하잖아.,난 약하지 않아!,"고마워, 날 인정해줘서.",역시 잎사귀 왕은 무리겠지?,네가 있으면 잎사귀 왕 같은 건 필요 없을지도.,라테아는 모든 드래곤들의 안식처.,사람들은 별자리라고 부르던가?,드래곤에게는 죽음이 없지.,우리는 모두 라테아로 돌아간다.,이파리의 선물.,이파리왕이 나가신다!,"속았어, 또 속았어!",내 머리를 만져보라니깐.,이파리의 선물.,또? 욕심쟁이!,,어? 정말이야?,그럼 가볼게,함께했던 시간 오래도록 기억할게,챙겨줘서 고마워!,발톱이 근질근질한데?
120084,leafdragon,빛 리프드래곤,고고함,fly_slow,common,귀여운 이파리!,팔라닥!,깜찍한 이파리!,팔랑팔랑 나풀나풀!,따끔한 이파리!,팔라당팔라당!,얕보지 말라니깐!,알고 보면 나도 무섭다니깐!,난 이파리왕이 될 거라니깐!,날 얕보지 않았으면 해.,곤란한 질문을 하는 건 곤란하잖아.,난 약하지 않아!,"고마워, 날 인정해줘서.",역시 잎사귀 왕은 무리겠지?,네가 있으면 잎사귀 왕 같은 건 필요 없을지도.,라테아는 모든 드래곤들의 안식처.,사람들은 별자리라고 부르던가?,드래곤에게는 죽음이 없지.,우리는 모두 라테아로 돌아간다.,이파리의 선물.,이파리왕이 나가신다!,"속았어, 또 속았어!",내 머리를 만져보라니깐.,이파리의 선물.,또? 욕심쟁이!,,어? 정말이야?,그럼 가볼게,함께했던 시간 오래도록 기억할게,챙겨줘서 고마워!,발톱이 근질근질한데?
120085,leafdragon,어둠 리프드래곤,고고함,fly_slow,common,귀여운 이파리!,팔라닥!,깜찍한 이파리!,팔랑팔랑 나풀나풀!,따끔한 이파리!,팔라당팔라당!,얕보지 말라니깐!,알고 보면 나도 무섭다니깐!,난 이파리왕이 될 거라니깐!,날 얕보지 않았으면 해.,곤란한 질문을 하는 건 곤란하잖아.,난 약하지 않아!,"고마워, 날 인정해줘서.",역시 잎사귀 왕은 무리겠지?,네가 있으면 잎사귀 왕 같은 건 필요 없을지도.,라테아는 모든 드래곤들의 안식처.,사람들은 별자리라고 부르던가?,드래곤에게는 죽음이 없지.,우리는 모두 라테아로 돌아간다.,이파리의 선물.,이파리왕이 나가신다!,"속았어, 또 속았어!",내 머리를 만져보라니깐.,이파리의 선물.,또? 욕심쟁이!,,그런 생각이로군,헤어질 시간이다,그동안 정말 즐거웠어,챙겨줘서 고마워!,발톱이 근질근질한데?
120091,taildragon,땅 테일드래곤,무개성,fly_normal,rare,실력발휘 좀 해볼까?,내 꼬리가 몇 개라고?,"혼돈, 파괴, 망각!",정신 똑바로 차려!,실망하긴 이르지.,내가 지원하지!,내 꼬리가 몇 개라고?,꼬리로 맞아본 적 있어?,모두가 순리대로,"보기보다 똑똑하고, 생각보다 쓸만하군.",앞으로도 잘해 보자고.,뭐가 어찌될 지는 아무도 모르지만…,"이런, 상상 그 이상이야!",너 정도의 테이머를 만나다니.,이건 정말 대단한 경험이야.,무슨 용건이지?,날씨 같은 건 관심 없어.,날 찾는 사람들이 좀 많아서 말이야..,이래뵈도 인기는 좀 있거든.,그냥 가져. 감사할 필요는 없고.,날 다룰 수 있을까?,"훗, 역시나..",여기! 이리 온…,그냥 가져. 감사할 필요는 없고.,이걸 어쩌지? 남아도는 건 내 꼬리 뿐이데… 호호호!,,그런 생각이로군,헤어질 시간이다,그동안 정말 즐거웠어,챙겨줘서 고마워!,날 데려가면 좋은 일이 있을거야
120092,taildragon,물 테일드래곤,무개성,fly_normal,rare,실력발휘 좀 해볼까?,내 꼬리가 몇 개라고?,"혼돈, 파괴, 망각!",정신 똑바로 차려!,실망하긴 이르지.,내가 지원하지!,내 꼬리가 몇 개라고?,꼬리로 맞아본 적 있어?,모두가 순리대로,"보기보다 똑똑하고, 생각보다 쓸만하군.",앞으로도 잘해 보자고.,뭐가 어찌될 지는 아무도 모르지만…,"이런, 상상 그 이상이야!",너 정도의 테이머를 만나다니.,이건 정말 대단한 경험이야.,무슨 용건이지?,날씨 같은 건 관심 없어.,날 찾는 사람들이 좀 많아서 말이야..,이래뵈도 인기는 좀 있거든.,그냥 가져. 감사할 필요는 없고.,날 다룰 수 있을까?,"훗, 역시나..",여기! 이리 온…,그냥 가져. 감사할 필요는 없고.,이걸 어쩌지? 남아도는 건 내 꼬리 뿐이데… 호호호!,,그런 생각이로군,헤어질 시간이다,그동안 정말 즐거웠어,챙겨줘서 고마워!,내가 활약할 차례야!
120093,taildragon,불 테일드래곤,무개성,fly_normal,rare,실력발휘 좀 해볼까?,내 꼬리가 몇 개라고?,"혼돈, 파괴, 망각!",정신 똑바로 차려!,실망하긴 이르지.,내가 지원하지!,내 꼬리가 몇 개라고?,꼬리로 맞아본 적 있어?,모두가 순리대로,"보기보다 똑똑하고, 생각보다 쓸만하군.",앞으로도 잘해 보자고.,뭐가 어찌될 지는 아무도 모르지만…,"이런, 상상 그 이상이야!",너 정도의 테이머를 만나다니.,이건 정말 대단한 경험이야.,무슨 용건이지?,날씨 같은 건 관심 없어.,날 찾는 사람들이 좀 많아서 말이야..,이래뵈도 인기는 좀 있거든.,그냥 가져. 감사할 필요는 없고.,날 다룰 수 있을까?,"훗, 역시나..",여기! 이리 온…,그냥 가져. 감사할 필요는 없고.,이걸 어쩌지? 남아도는 건 내 꼬리 뿐이데… 호호호!,,그런 생각이로군,헤어질 시간이다,그동안 정말 즐거웠어,챙겨줘서 고마워!,나도 싸울 수 있어!
120094,taildragon,빛 테일드래곤,무개성,fly_normal,rare,실력발휘 좀 해볼까?,내 꼬리가 몇 개라고?,"혼돈, 파괴, 망각!",정신 똑바로 차려!,실망하긴 이르지.,내가 지원하지!,내 꼬리가 몇 개라고?,꼬리로 맞아본 적 있어?,모두가 순리대로,"보기보다 똑똑하고, 생각보다 쓸만하군.",앞으로도 잘해 보자고.,뭐가 어찌될 지는 아무도 모르지만…,"이런, 상상 그 이상이야!",너 정도의 테이머를 만나다니.,이건 정말 대단한 경험이야.,무슨 용건이지?,날씨 같은 건 관심 없어.,날 찾는 사람들이 좀 많아서 말이야..,이래뵈도 인기는 좀 있거든.,그냥 가져. 감사할 필요는 없고.,날 다룰 수 있을까?,"훗, 역시나..",여기! 이리 온…,그냥 가져. 감사할 필요는 없고.,이걸 어쩌지? 남아도는 건 내 꼬리 뿐이데… 호호호!,,그런 생각이로군,헤어질 시간이다,그동안 정말 즐거웠어,챙겨줘서 고마워!,발톱이 근질근질한데?
